Org,Currency,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NGO 1,DKK,,,,7950,8610,9270,9920,10580,11240,11900,12560,13220,13880,14540,15190,15850
NGO 2,DKK,,,,9900,10600,11800,13000,14200,15400,16600,17800,19000,,,,
NGO 3,NOK,,,11673,12680,13688,14695,15703,16710,17718,18725,19733,20740,,,,26320
NGO 4,NOK,,,12370,13223,15238,16090,16943,17795,19810,20663,21515,22368,,,,
NGO 5,NOK,,,12370,13610,14850,16090,17330,18570,19810,21050,22290,25080,,,,
NGO 6,NOK,,5130,5743,,,,,,,,,24500,,,,28200
NGO 7,DKK,13950,16120,18290,20460,22630,24800,26970,29140,31310,33480,35650,37820,39990,42160,44330,46500
NGO 8,DKK,13700,15620,17540,19460,21380,23300,25220,27140,29060,30980,32900,34820,36740,38660,40580,42500
NGO 9,DKK,12700,14620,16540,18460,20380,22300,24220,26140,28060,29980,31900,33820,35740,37660,39580,41500
S.S.,USD,832,951,1070,1189,1358,1572,1843,2033,2223,2413,2603,2793,2983,3173,3363,3553
